	variables	precision	recall	f-score
0	['token', 'ChunkLabel', 'POS-Tag', 'PrevToken', 'FULLCAPS', 'FirstCaps']	0.8846645975692995	0.9158410448415344	0.898942138292423
1	['token', 'POS-Tag', 'PrevToken', 'FULLCAPS', 'FirstCaps']	0.7329941140792542	0.7579667564558981	0.7443897183471012
2	['token', 'ChunkLabel', 'PrevToken', 'FULLCAPS', 'FirstCaps']	0.8826627873781081	0.9158028129873108	0.8977112781190162
3	['token', 'ChunkLabel', 'POS-Tag', 'FULLCAPS', 'FirstCaps']	0.7145286995617055	0.7427128759124996	0.7274561770935394
4	['token', 'ChunkLabel', 'POS-Tag', 'PrevToken']	0.879391590746512	0.9155942332091996	0.8956819183724063
